#Size(bytes) MeanAllocTime(cycles) MeanFreeTime(cycles) MeanFreeTimeRFlag(cycles)
6378 3728.79 431.706 4004.86
6388 3463.55 399.06 3848.18
6398 3468.49 398.202 4021.12
6408 3274.43 507.72 4159.47
6418 3270.7 382.684 4120
6428 3208.39 383.082 3951.83
6438 3413.2 422.336 4043.9
6448 3299.54 383.032 4253.21
6458 3593.37 405.242 3944.99
6468 3388.03 390.86 4243.32
6478 3249.03 392.72 4278.39
6488 3336.25 389.24 4178.36
6498 3332.32 405.612 4192.95
6508 3277.32 395.544 3966.12
6518 3302.26 389.762 3951.75
6528 3495.76 399.522 4050.51
6538 3218.16 390.924 4116.49
6548 3236.75 384.25 3927.83
6558 3409.26 382.556 3902.44
6568 3222.39 503.776 4143.23
6578 3238.48 385.078 3983.18
6588 3200.4 387.478 3859.37
6598 3381.67 385.636 4073.48
6608 3296.23 383.454 4080.46
6618 3227.39 379.814 3796.11
6628 3267.93 380.662 3769.71
6638 3345.03 385.5 3918.14
6648 3947.19 395.242 3825.21
6658 3390.54 384.062 3825.05
6668 3414.06 390.28 3798.58
6678 3430.8 380.796 3959.76
6688 3462.72 388.146 3982.32
6698 3238.72 411.348 4073.4
6708 3324.43 452.51 3881.6
6718 3307.32 443.8 3929.28
6728 3314.9 463.739 3932.14
6738 3284.47 468.495 3936.79
6748 3316.75 389.402 3971.56
6758 3316.38 463.931 4031.61
6768 3376.57 413.493 3997.95
6778 3546.2 391.554 3988.85
6788 3474.52 395.72 3982.91
6798 3472.83 387.202 3987.12
6808 3430.69 383.038 3985.57
6818 3341.92 386.046 4083.78
6828 3372.95 375.08 4187.04
6838 3260.13 377.038 4158.71
6848 3295.47 376.988 4175.68
6858 3247.61 383.604 4174.7
6868 4640.81 395.436 4440.63
6878 3241.88 443.412 4316.56
6888 3226.98 386.974 4267.51
6898 3228.58 379.9 4192.07
6908 3321.76 388.57 4093.76
6918 3252.23 384.72 4134.58
6928 3266.53 378.806 4045.19
6938 3255.2 377.72 4160.21
6948 3249.01 375.984 3969.26
6958 3399.86 379.222 4029.71
6968 3258.76 377.648 4043.4
6978 3277.23 386.87 4005.52
6988 3595.89 562.849 3835.27
6998 4190.56 463.804 3842.69
7008 4089.95 468.528 4175.57
7018 3276.83 390.83 4190.32
7028 3228.48 387.476 4053.11
7038 3275.72 388.42 4004.41
7048 3238.5 385.65 4020.62
7058 3237.38 393.604 4103.35
7068 3229.66 387.784 4290.93
7078 3322.88 383.758 4225.81
7088 3288.61 421.84 4124.22
7098 3291.81 391.546 4137.05
7108 3221.46 388.32 4160.16
7118 3228.47 387.91 3935.2
7128 3430.71 397.176 3986.96
7138 3216.88 499.589 4211.11
7148 3650.12 444.998 4152.98
7158 3619.16 481.5 3949.11
7168 3417.39 401.294 3949.15
7178 3402.4 399.844 4262.64
7188 3221.2 396.714 4169.25
7198 3277.82 386.462 4083.04
7208 3355.67 445.452 4185.81
7218 3528.53 398.544 4246.32
7228 3243.22 391.564 4164.89
7238 3263.97 397.02 4052.28
7248 3423.06 392.11 3944.45
7258 3457.84 394.946 4091.97
7268 3387.35 411.298 4145.82
7278 3241.87 394.658 4214.4
7288 3403.87 457.946 4050.28
7298 3467.86 389.484 4010.2
7308 3707.95 454.85 3881.43
7318 3291.93 516.282 4089.02
7328 3227.65 412.852 4156.86
7338 3946.36 484.734 4134.24
7348 3588.45 425.93 4133.64
7358 3364.24 420.09 3886.41
7368 3481.03 393.652 3916.02
7378 3233.37 556.857 4177.29
7388 4804.56 622.364 4071.32
7398 4001.92 567.424 4242.84
7408 3327.32 410.662 4133.59
7418 3484.01 388.216 3965.33
7428 3307.86 610.545 3904.86
7438 3215.87 383.796 4074.4
7448 3250.64 481.11 3974.07
7458 3546.82 397.708 3932.72
7468 3435.19 393.268 3920.45
7478 3589 390.192 4007.26
7488 3547.01 457.53 3982.4
7498 3455.77 401.852 3961.92
7508 3394.96 394.654 4178.21
7518 3415.78 388.34 3960.24
7528 3527.85 461.842 3974.12
7538 3407.63 392.55 4205.2
7548 3428.29 419.888 4152.4
7558 3417.3 390.866 4256.07
7568 3242.46 387.73 3979.73
7578 3247.51 383.146 4167.33
7588 3502.04 436.388 4225.86
7598 3232.41 384.712 4338.37
7608 3220.5 381.618 4059.07
7618 3349.05 380.812 4163.99
7628 3218.97 394.068 3986.78
7638 3273.34 465.594 4058.32
7648 3349.01 389.246 4075.12
7658 3263.3 379.248 4152.15
7668 3429.07 382.024 4219.82
7678 3326.43 396.597 4086.71
7688 3519.25 385.4 4240.6
7698 3290.65 381.786 4152.08
7708 3398.45 385.518 4089.67
7718 3277.03 381.616 3939.15
7728 3456.64 430.009 4079.88
7738 3250.58 387.178 3998.53
7748 3242.97 388.934 4296.86
7758 4360.5 486.086 3958.93
7768 3658.05 453.66 4131.26
7778 3591.06 425.066 4184.49
7788 3345.45 413.894 4112.6
7798 3401.69 386.212 4089.21
7808 3225.67 513.276 3981.44
7818 3471.38 389.51 3952
7828 3273.74 460.925 4344.47
7838 3291.2 388.292 4222.56
7848 3249.09 387.248 3945.25
7858 3445.9 386.578 3929.65
7868 3308.82 447.084 4160.6
7878 3256.71 383.016 4103.22
7888 3319.05 395.946 3962.2
7898 3355.6 381.33 3934.83
7908 3444.86 386.904 3951.05
7918 3261.88 496.62 4275.27
7928 3541.06 530.316 4139.72
7938 3312.29 392.206 3942.72
7948 3403.11 388.742 3951.35
7958 3543.96 394.436 4186.97
7968 3252.63 488.158 4186.07
7978 3332.35 399.458 4065.64
7988 3489.66 390.05 3948.93
7998 3230.55 503.551 4221.87
8008 3225.02 379.816 4178.23
8018 3979.99 460.006 4241.7
8028 3435.07 462.296 4229.8
8038 3468.97 389.668 3963.15
8048 3326.38 396.72 4175.18
8058 3315.38 388.116 4407.88
8068 3241.22 384.278 4165.12
8078 3293.31 418.524 3952.16
8088 3394.23 392.42 3964.68
8098 3460.18 392.024 4163.59
8108 3482.05 400.402 4133.72
8118 3484.49 406.984 4038.24
8128 3428.53 394.077 4175.41
8138 3440.68 477.134 4172.94
8148 3258.89 551 3948.85
8158 4022.84 548.647 4151.08
8168 3405.23 412.326 3940.58
8178 3430.68 382.186 4139.55
8188 3685.36 409.442 4262.89
8198 3370.15 390.536 4275.07
8208 3245.1 386.434 4126.89
8218 3257.91 380.748 4203.09
8228 3257.51 376.12 4147
8238 3284.7 380.626 4108.57
8248 3282.36 377.172 4148.05
8258 3258.28 387.208 4256.93
8268 3246.27 377.582 4113.7
8278 3282.83 376.53 4178.6
8288 3266.18 383.166 4223.51
8298 3269.07 387.012 4100.97
8308 3316.34 441.598 4166.22
8318 3372.96 385.354 4153.94
